grade,region_group,task_id,score
9,Rest,9.5,4.0
9,Rest,9.6,0.0
9,Rest,9.7,14.0
9,Rest,9.8,10.0
9,Rest,9.1.1,4.0
9,Rest,9.2.1,4.0
9,Rest,9.3.1,2.0
9,Rest,9.4.1,1.0
9,Rest,9.5.1,3.0
9,Rest,9.6.1,5.0
9,Rest,9.7.1,3.0
9,Rest,Теор,18.0
9,Rest,Прак,24.0
9,Rest,Блиц,22.0
9,MO,№,42.0
9,MO,9.1,1.0
9,MO,9.2,6.0
9,MO,9.3,1.0
9,MO,9.4,10.0
9,MO,9.5,6.0
9,MO,9.6,3.0
9,MO,9.7,12.0
9,MO,9.8,1.0
9,MO,9.1.1,0.0
9,MO,9.2.1,4.0
9,MO,9.3.1,3.0
9,MO,9.4.1,3.0
9,MO,9.5.1,4.0
9,MO,9.6.1,5.0
9,MO,9.7.1,5.0
9,MO,Теор,27.0
9,MO,Прак,13.0
9,MO,Блиц,24.0
9,Rest,№,43.0
9,Rest,9.1,1.0
9,Rest,9.2,0.0
9,Rest,9.3,0.0
9,Rest,9.4,4.0
9,Rest,9.5,4.0
9,Rest,9.6,5.0
9,Rest,9.7,12.0
9,Rest,9.8,14.0
9,Rest,9.1.1,2.0
9,Rest,9.2.1,4.0
9,Rest,9.3.1,3.0
9,Rest,9.4.1,2.0
9,Rest,9.5.1,4.0
9,Rest,9.6.1,4.0
9,Rest,9.7.1,5.0
9,Rest,Теор,14.0
9,Rest,Прак,26.0
9,Rest,Блиц,24.0
9,Rest,№,44.0
9,Rest,9.1,1.0
9,Rest,9.2,1.0
9,Rest,9.3,4.0
9,Rest,9.4,10.0
9,Rest,9.5,6.0
9,Rest,9.6,0.0
9,Rest,9.7,12.0
9,Rest,9.8,14.0
9,Rest,9.1.1,0.0
9,Rest,9.2.1,4.0
9,Rest,9.3.1,2.0
9,Rest,9.4.1,2.0
9,Rest,9.5.1,2.0
9,Rest,9.6.1,4.0
9,Rest,9.7.1,2.0
9,Rest,Теор,22.0
9,Rest,Прак,26.0
9,Rest,Блиц,16.0
9,MO,№,45.0
9,MO,9.1,0.0
9,MO,9.2,6.0
9,MO,9.3,0.0
9,MO,9.4,9.0
9,MO,9.5,3.0
9,MO,9.6,5.0
9,MO,9.7,13.0
9,MO,9.8,10.0
9,MO,9.1.1,3.0
9,MO,9.2.1,2.0
9,MO,9.3.1,1.0
9,MO,9.4.1,2.0
9,MO,9.5.1,3.0
9,MO,9.6.1,4.0
9,MO,9.7.1,2.0
9,MO,Теор,23.0
9,MO,Прак,23.0
9,MO,Блиц,17.0
9,Rest,№,46.0
9,Rest,9.1,1.0
9,Rest,9.2,6.0
9,Rest,9.3,0.0
9,Rest,9.4,4.0
9,Rest,9.5,6.0
9,Rest,9.6,0.0
9,Rest,9.7,14.0
9,Rest,9.8,11.0
9,Rest,9.1.1,5.0
9,Rest,9.2.1,3.0
9,Rest,9.3.1,1.0
9,Rest,9.4.1,1.0
9,Rest,9.5.1,5.0
9,Rest,9.6.1,5.0
9,Rest,9.7.1,1.0
9,Rest,Теор,17.0
9,Rest,Прак,25.0
9,Rest,Блиц,21.0
9,Rest,№,47.0
9,Rest,9.1,0.0
9,Rest,9.2,2.0
9,Rest,9.3,0.0
9,Rest,9.4,7.0
9,Rest,9.5,2.0
9,Rest,9.6,2.0
9,Rest,9.7,14.0
9,Rest,9.8,11.0
9,Rest,9.1.1,3.0
9,Rest,9.2.1,4.0
9,Rest,9.3.1,1.0
9,Rest,9.4.1,2.0
9,Rest,9.5.1,5.0
9,Rest,9.6.1,5.0
9,Rest,9.7.1,5.0
9,Rest,Теор,13.0
9,Rest,Прак,25.0
9,Rest,Блиц,25.0
9,Rest,№,48.0
9,Rest,9.1,1.0
9,Rest,9.2,8.0
9,Rest,9.3,3.0
9,Rest,9.4,9.0
9,Rest,9.5,2.0
9,Rest,9.6,8.0
9,Rest,9.7,5.0
9,Rest,9.8,10.0
9,Rest,9.1.1,3.0
9,Rest,9.2.1,0.0
9,Rest,9.3.1,1.0
9,Rest,9.4.1,2.0
9,Rest,9.5.1,3.0
9,Rest,9.6.1,4.0
9,Rest,9.7.1,3.0
9,Rest,Теор,31.0
9,Rest,Прак,15.0
9,Rest,Блиц,16.0
9,Rest,№,49.0
9,Rest,9.1,1.0
9,Rest,9.2,1.0
9,Rest,9.3,1.0
